,floral_host,bee_genus_species,imidacloprid_ppb,percent_days_paralyzed
121,CUCURBITA,BOMBUS,5,70
122,CUCURBITA,BOMBUS,20,100
123,CUCURBITA,BOMBUS,100,93
124,SUNFLOWER,BOMBUS,0,0
125,SUNFLOWER,BOMBUS,0,17
126,SUNFLOWER,BOMBUS,5,63
127,SUNFLOWER,BOMBUS,5,33
128,SUNFLOWER,BOMBUS,20,0
129,SUNFLOWER,BOMBUS,20,78
130,SUNFLOWER,BOMBUS,100,40
131,SUNFLOWER,BOMBUS,100,100
132,SUNFLOWER,BOMBUS,100,81
133,SUNFLOWER,BOMBUS,0,0
134,SUNFLOWER,BOMBUS,0,0
135,SUNFLOWER,BOMBUS,0,0
136,SUNFLOWER,BOMBUS,0,10
137,SUNFLOWER,BOMBUS,5,100
138,SUNFLOWER,BOMBUS,5,71
139,SUNFLOWER,BOMBUS,5,36
140,SUNFLOWER,BOMBUS,5,67
141,SUNFLOWER,BOMBUS,5,57
142,SUNFLOWER,BOMBUS,5,85
143,SUNFLOWER,BOMBUS,20,75
144,SUNFLOWER,BOMBUS,20,80
145,SUNFLOWER,BOMBUS,20,94
146,SUNFLOWER,BOMBUS,100,0
147,SUNFLOWER,BOMBUS,100,100
148,SUNFLOWER,BOMBUS,100,100
149,SUNFLOWER,BOMBUS,100,100
150,SUNFLOWER,BOMBUS,100,100
151,SUNFLOWER,BOMBUS,0,0
152,SUNFLOWER,BOMBUS,0,0
153,SUNFLOWER,BOMBUS,20,75
154,SUNFLOWER,BOMBUS,20,73
155,SUNFLOWER,BOMBUS,100,100
156,OKRA,BOMBUS,5,33
157,OKRA,BOMBUS,20,72
158,OKRA,BOMBUS,0,7
159,OKRA,BEMBIX,100,88
160,CUCURBITA,BOMBUS,0,0
161,SUNFLOWER,SPHECID,5,0
162,CUCURBITA,BOMBUS,0,0
163,CUCURBITA,BOMBUS,5,100
164,CUCURBITA,BOMBUS,5,25
165,CUCURBITA,BOMBUS,5,54
166,CUCURBITA,BOMBUS,5,71
167,CUCURBITA,BOMBUS,20,100
168,CUCURBITA,BOMBUS,20,100
169,CUCURBITA,BOMBUS,20,100
170,CUCURBITA,BOMBUS,100,100
171,CUCURBITA,BOMBUS,100,100
172,CUCURBITA,BOMBUS,100,100
